playerID,inducted,W,L,CG,SHO,SV,H_allowed,ER,HR_allowed,BB_allowed,StruckOut,BAOpp,ERA,WP,HitBatsmen,BK,R_allowed,SH_allowed,SF_allowed,GIDP_pitcher,award_count
keyji01,N,186,117,34,13,10,2518,1010,254,668,1538,0.262,3.74666666666667,50,38,12,1104,88,69,234,5
kindeel01,N,102,71,56,10,102,1421,564,118,539,749,0.226153846153846,2.98846153846154,11,9,2,627,0,0,0,2
kingmda01,N,0,0,0,0,0,3,4,0,6,4,0.2,9,2,0,0,4,0,0,0,2
koufasa01,Y,165,87,137,40,9,1754,713,204,817,2396,0.208333333333333,3.14166666666667,87,18,7,806,0,0,0,22
kremera01,N,143,85,134,14,10,2108,816,122,483,516,0.282,4.385,23,29,2,950,0,0,0,3
kressre01,N,0,0,0,0,0,13,13,1,6,6,0.33,12.49,0,1,0,14,0,0,0,1
langsma01,N,179,158,81,18,0,2723,1306,311,1289,2464,0.253882352941177,4.24705882352941,89,46,22,1438,89,81,248,7
larsedo01,N,81,91,44,11,26,1442,650,130,725,849,0.257058823529412,4.14470588235294,39,26,0,728,0,0,0,2
lasorto01,Y,0,4,0,0,1,53,42,9,56,37,0.263333333333333,8.21666666666667,11,4,0,49,0,0,0,1
lawve01,N,162,147,119,28,13,2833,1118,268,597,1092,0.2725,3.969375,39,40,3,1274,0,0,0,4
leiteal01,N,162,132,16,10,2,2152,1010,198,1163,1974,0.246666666666667,5.35809523809524,63,117,20,1101,109,62,210,3
lemonbo01,Y,207,128,188,31,22,2559,1024,181,1251,1277,0.246153846153846,3.42461538461538,63,57,2,1185,0,0,0,9
leonade01,N,144,106,103,23,1,2137,898,202,622,1323,0.2555,3.59,73,52,6,1008,82,65,160,1
leonadu02,N,191,181,192,30,44,3304,1162,158,737,1170,0.2565,3.3175,97,56,6,1432,0,0,0,2
lidgebr01,N,26,32,0,0,225,492,237,57,287,799,0.237727272727273,4.16545454545455,46,34,3,257,32,11,28,3
lolicmi01,N,217,191,195,41,11,3366,1390,347,1099,2832,0.24625,3.43,124,92,8,1537,108,59,90,2
lonboji01,N,157,137,90,15,4,2400,1056,233,823,1475,0.263066666666667,4.40733333333333,73,105,9,1170,67,35,104,3
lucasre01,N,157,135,204,22,7,2736,1051,136,455,602,0.278,3.55533333333333,7,23,6,1198,0,0,0,2
luquedo01,N,194,179,206,26,28,3231,1161,113,918,1130,0.251,3.2595,50,26,5,1412,0,0,0,2
lylesp01,N,99,76,0,0,238,1292,445,84,481,873,0.250944444444445,2.98,66,14,10,519,83,47,94,2
lyonste01,Y,260,230,356,27,23,4489,1696,223,1121,1073,0.272380952380952,3.75523809523809,55,31,6,2056,0,0,0,8
maddugr01,Y,355,227,109,35,0,4726,1756,353,999,3371,0.25528,3.3844,70,137,28,1981,274,119,422,31
maglisa01,N,119,62,93,25,14,1591,603,169,562,862,0.248571428571429,3.31714285714286,18,44,7,684,0,0,0,1
maricju01,Y,243,142,244,52,2,3153,1126,320,709,2303,0.2469375,3.713125,51,40,20,1329,44,26,15,5
marquru01,Y,201,177,197,30,19,3233,1130,107,858,1593,0.26,3.39315789473684,81,39,5,1443,0,0,0,1
marshmi01,N,97,112,3,1,188,1281,484,79,514,880,0.269647058823529,3.99823529411765,72,31,7,548,115,37,90,5
martipe01,N,0,0,0,0,0,2,1,0,2,0,0.18,2.25,0,0,0,1,0,0,0,3
martipe02,Y,219,100,46,17,3,2221,919,239,760,3154,0.221,2.99833333333333,62,141,6,1006,74,63,148,12
mathech01,Y,373,188,435,79,29,4219,1135,90,848,2507,0.27,2.64944444444444,115,59,8,1620,0,0,0,15
matlajo01,N,125,126,97,30,3,2276,835,161,638,1516,0.258307692307692,3.46307692307692,68,26,9,970,96,61,181,2
maysca01,N,207,126,231,29,31,2912,979,73,734,862,0.25875,3.1425,34,89,1,1211,0,0,0,3
mcdanli01,N,141,119,18,2,172,2099,821,172,623,1361,0.256409090909091,3.66181818181818,112,15,5,934,35,23,33,2
mcdowja01,N,127,87,62,13,0,1854,809,173,606,1311,0.263833333333333,4.22333333333333,63,48,5,874,61,48,124,4
mcdowsa01,N,141,134,103,23,14,1948,879,164,1312,2453,0.21675,3.369375,140,59,7,999,39,21,16,2
mcgratu01,N,96,92,5,1,180,1318,528,108,582,1109,0.237894736842105,3.45526315789474,63,22,4,597,80,37,81,1
mclaide01,N,131,91,105,29,2,1646,711,242,548,1282,0.246,4.07909090909091,27,26,9,778,19,18,0,8
