playerID,inducted,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,SH,SF,GIDP,AVG,PO,A,E,DP,award_count
martipe01,N,754,1227,270,75,59,501,146,0,369,438,0,22,0,44,0.298032547971824,1692,775,124,58,3
martipe02,Y,22,43,6,2,0,18,0,0,15,190,0,63,3,5,0.0990783410138249,155,263,23,11,12
martiti02,N,1009,1925,365,21,339,1271,27,20,780,1069,102,14,80,191,0.270707354802419,15001,1159,80,1398,2
mathech01,Y,151,362,50,12,7,165,20,1,116,218,0,69,0,0,0.214582098399526,313,1506,57,44,15
matheed01,Y,1509,2315,354,72,512,1453,68,39,1444,1487,107,36,58,123,0.271172543047909,2966,4385,313,444,4
matlajo01,N,32,57,3,0,0,23,0,0,57,217,0,41,1,7,0.129251700680272,68,346,21,14,2
matsuhi01,N,656,1253,249,12,175,760,13,9,547,689,35,0,46,106,0.282080144079244,1326,41,24,11,1
matthga01,N,1083,2011,319,51,234,978,183,74,940,1125,46,19,62,179,0.281376801455156,3226,135,112,17,2
mattido01,N,1007,2153,442,20,222,1099,14,9,588,444,136,13,96,191,0.307439668713409,14270,1121,68,1504,22
maxvida01,N,302,748,79,24,6,252,7,11,370,538,49,54,23,94,0.217252396166134,1974,3684,153,714,1
maybejo01,N,733,1379,211,19,255,879,20,17,881,810,106,10,53,108,0.253166880851845,13169,827,88,1307,2
mayle01,N,959,2031,340,31,354,1244,39,35,487,1570,85,9,65,219,0.266920751741359,13029,900,90,1236,1
maysca01,N,113,291,32,21,5,110,1,1,66,116,0,44,0,0,0.268202764976959,174,1138,44,56,3
mayswi01,Y,2062,3283,523,140,660,1903,338,103,1464,1526,192,13,91,251,0.301718592041173,7752,233,156,121,32
mazerbi01,Y,769,2016,294,62,138,853,27,23,447,706,110,87,70,194,0.259961315280464,4976,6694,204,1706,13
mcbriba01,N,548,1153,167,55,63,430,183,63,248,457,28,22,39,64,0.299247339735271,2163,59,25,12,1
mccarti01,N,590,1501,242,57,97,645,61,49,548,422,119,35,64,99,0.271477663230241,8893,625,103,128,1
mccorfr01,N,722,1711,334,26,128,951,27,0,399,189,0,58,0,176,0.298969072164948,13803,1003,79,1221,6
mccovwi01,Y,1229,2211,353,46,521,1555,26,22,1345,1550,260,5,70,176,0.269732829083811,17567,1236,256,1407,10
mcdanli01,N,19,56,11,0,3,17,0,0,8,159,0,25,0,4,0.148148148148148,127,447,22,28,2
mcdougi01,N,697,1291,187,51,112,576,45,44,559,623,8,97,27,93,0.276090675791275,2352,3373,149,815,3
mcdowja01,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,139,245,13,12,4
mcdowsa01,N,34,119,7,2,2,36,0,1,16,306,0,56,4,6,0.15374677002584,80,328,33,23,2
mcgeewi01,N,1010,2254,350,94,79,856,352,121,448,1238,58,30,46,157,0.294679043012158,4295,136,108,29,7
mcgratu01,N,14,39,7,0,1,18,0,0,10,57,0,21,1,2,0.182242990654206,75,219,23,16,1
mcgrifr01,N,1349,2490,441,24,493,1550,72,38,1305,1882,171,2,71,226,0.284343953408702,18985,1447,167,1775,7
mcgwima01,N,1167,1626,252,6,583,1414,12,8,1317,1596,150,3,78,147,0.262809115888153,14464,1073,112,1409,9
mcinnst01,N,872,2405,312,101,20,1063,172,59,380,196,0,383,0,0,0.307466121196625,20120,1409,194,1328,5
mclaide01,N,32,82,5,2,1,31,1,0,25,244,0,64,4,10,0.133116883116883,154,212,13,15,8
mcmilro01,N,739,1639,253,35,68,594,41,36,665,711,47,140,39,163,0.242742890995261,3722,6233,292,1311,3
mcnalda01,N,49,97,23,0,9,43,0,0,58,340,0,58,1,4,0.132694938440492,97,417,21,37,1
mcraeha01,N,940,2091,484,66,191,1097,109,78,648,779,69,28,85,186,0.289692435577722,887,84,41,18,4
medwijo01,Y,1198,2471,540,113,205,1383,42,0,437,551,0,44,0,203,0.323641126391618,4152,143,86,36,22
mesajo01,N,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,112,197,17,11,2
messean01,N,49,124,30,0,5,54,1,0,46,212,0,46,4,6,0.170096021947874,136,318,41,15,3
millafe01,N,699,1617,229,38,22,403,67,43,318,242,40,121,32,146,0.279226385771024,3498,3846,151,856,2
minosmi01,N,1136,1963,336,83,186,1023,205,130,814,584,23,68,57,185,0.298373613011096,3416,331,112,36,5
mitchke01,N,630,1173,224,25,234,760,30,31,491,719,87,2,42,89,0.283744557329463,1676,566,86,62,5
mizejo01,Y,1118,2011,367,83,359,1337,28,1,856,524,0,20,0,99,0.312121682446065,14862,1033,133,1320,13
molitpa01,Y,1782,3319,605,114,234,1307,504,131,1094,1244,100,75,109,209,0.306322104291647,3506,3241,208,664,13
mondera01,N,909,1589,319,49,271,860,229,92,475,1130,50,2,37,93,0.273305813553492,2932,112,76,23,3
montawi01,N,645,1604,279,25,139,802,32,42,465,751,103,10,65,162,0.274516515488619,10764,747,104,969,1
montgje01,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86,103,6,9,2
moonwa01,N,737,1399,212,60,142,661,89,68,644,591,56,31,35,121,0.288870534792484,3133,174,68,133,2
moorejo02,N,809,1615,258,53,79,513,46,0,348,247,0,36,0,48,0.297586143357288,2501,116,68,17,1
morame01,N,794,1503,283,19,171,754,93,55,520,953,18,50,49,112,0.277203983769827,1787,2445,148,272,2
morgajo02,Y,1650,2517,449,96,268,1133,689,162,1865,1015,76,51,96,105,0.271316158240811,5758,6969,245,1505,17
morrija02,Y,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,413,29,36,5
moseswa01,N,1124,2138,435,110,89,679,174,81,821,457,0,55,0,58,0.290647090810223,4000,147,113,35,2
mostijo01,N,618,1054,209,82,23,376,176,105,415,336,0,104,0,0,0.300541773595666,2588,137,85,31,3
moyerja01,N,24,51,5,0,0,15,0,0,35,152,0,64,2,5,0.1275,279,644,22,48,5
muellbi02,N,663,1229,265,22,85,493,20,18,543,571,17,37,48,105,0.29102533743784,817,2086,126,216,2
munsoth01,N,696,1558,229,32,113,701,48,50,438,571,59,21,58,160,0.291541916167665,6342,742,130,85,10
murcebo01,N,972,1862,285,45,252,1043,127,75,862,841,96,18,81,124,0.27667161961367,3352,293,90,48,4
murphda05,N,1197,2111,350,39,398,1266,161,68,986,1748,159,6,60,209,0.265201005025126,6319,300,123,172,19
murraed02,Y,1627,3255,560,35,504,1917,110,43,1333,1516,222,2,128,315,0.287138320395201,21265,1871,168,2034,9
musiast01,Y,1949,3630,725,177,475,1951,78,31,1599,696,127,35,53,243,0.330842143638352,12439,818,142,962,34
mussimi01,N,3,9,1,0,0,5,0,0,1,9,0,1,0,0,0.173076923076923,231,497,15,37,8
myersra01,N,5,11,3,0,0,7,0,0,3,33,0,5,0,2,0.183333333333333,27,92,5,2,5
nehfar01,N,90,192,29,5,8,76,7,3,86,122,0,41,0,0,0.20983606557377,144,749,22,48,1
nenro01,N,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0.0666666666666667,44,69,7,8,1
nettlgr01,N,1193,2225,328,28,390,1314,32,36,1088,1209,94,12,90,197,0.247607389272201,2098,5295,298,480,6
newcodo01,N,94,238,33,3,15,108,2,1,87,147,1,17,3,17,0.271070615034169,159,313,18,27,7
newhoha01,Y,71,201,22,2,2,81,3,3,89,150,0,72,0,24,0.201201201201201,135,611,22,40,19
