playerID,yearID,stint,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
dahlkje01,1956,1,5,0.0,7.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0
daiglca01,6020,3,33,10.0,215.0,6,7,0.0,0,0.0,0.0,0.0,0.0,0.0
dailebi01,7850,4,119,0.0,557.0,10,47,5.0,1,0.0,0.0,0.0,0.0,0.0
dailejo01,11250,9,31,0.0,768.0,52,82,38.0,2,0.0,0.0,0.0,0.0,0.0
dailesa01,1929,1,20,0.0,0.0,4,3,0.0,0,0.0,0.0,0.0,0.0,0.0
dailevi01,3780,2,66,0.0,1755.0,103,17,20.0,2,0.0,0.0,0.0,0.0,0.0
dailyco01,58588,31,634,0.0,15732.0,2704,641,309.0,83,254.0,0.0,538.0,303.0,0.0
dailyed01,39660,30,649,0.0,16446.0,851,385,180.0,23,0.0,0.0,0.0,0.0,0.0
dailyhu01,20726,12,171,0.0,4329.0,24,266,37.0,5,0.0,0.0,0.0,0.0,0.0
daisege01,1884,1,1,0.0,21.0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0
dalcabr01,23667,13,316,83.0,2793.0,58,128,8.0,8,0.0,0.0,0.0,0.0,0.0
daleca01,1999,1,4,0.0,12.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
dalege01,7654,4,90,0.0,0.0,16,114,8.0,6,0.0,0.0,0.0,0.0,0.0
dalesma01,23963,12,67,21.0,785.0,128,17,3.0,3,2.0,0.0,17.0,6.0,0.0
daleybi01,9451,5,69,0.0,1362.0,34,107,13.0,6,0.0,0.0,0.0,0.0,0.0
daleybu01,21556,12,248,116.0,2901.0,69,172,16.0,13,0.0,0.0,0.0,0.0,0.0
daleyjo01,1912,1,17,0.0,0.0,27,48,15.0,7,0.0,0.0,0.0,0.0,0.0
daleyju01,3823,2,71,0.0,0.0,153,13,9.0,3,0.0,0.0,0.0,0.0,0.0
daleyma01,10057,5,112,0.0,302.0,6,11,1.0,0,0.0,0.0,0.0,0.0,0.0
